target_end_date,target,location,observation
2026-05-19,insp_sitrep__cumulative_suspected_cases__daily,Butembo,1
2026-05-19,insp_sitrep__cumulative_suspected_cases__daily,Goma,1
2026-05-19,insp_sitrep__cumulative_suspected_cases__daily,Katwa,1
2026-05-19,insp_sitrep__cumulative_suspected_cases__daily,Mongbwalu,309
2026-05-19,insp_sitrep__cumulative_suspected_cases__daily,Nyankunde,19
2026-05-19,insp_sitrep__cumulative_suspected_cases__daily,Rwampara,154
2026-05-19,insp_sitrep__cumulative_suspected_deaths__daily,Bunia,23
2026-05-19,insp_sitrep__cumulative_suspected_deaths__daily,Mongbwalu,77
2026-05-19,insp_sitrep__cumulative_suspected_deaths__daily,Nyankunde,5
2026-05-19,insp_sitrep__cumulative_suspected_deaths__daily,Rwampara,43
2026-05-19,insp_sitrep__national_cumulative_confirmed_cases__daily,DRC,51
2026-05-19,insp_sitrep__national_cumulative_confirmed_deaths__daily,DRC,4
2026-05-19,insp_sitrep__national_cumulative_suspected_cases__daily,DRC,575
2026-05-20,insp_sitrep__cumulative_confirmed_cases__daily,Bambu,1
2026-05-20,insp_sitrep__cumulative_confirmed_cases__daily,Bunia,11
2026-05-20,insp_sitrep__cumulative_confirmed_cases__daily,Butembo,1
2026-05-20,insp_sitrep__cumulative_confirmed_cases__daily,Goma,1
2026-05-20,insp_sitrep__cumulative_confirmed_cases__daily,Katwa,1
2026-05-20,insp_sitrep__cumulative_confirmed_cases__daily,Mongbwalu,13
2026-05-20,insp_sitrep__cumulative_confirmed_cases__daily,Nyankunde,5
2026-05-20,insp_sitrep__cumulative_confirmed_cases__daily,Rwampara,24
2026-05-20,insp_sitrep__cumulative_confirmed_deaths__daily,Bunia,0
2026-05-20,insp_sitrep__cumulative_confirmed_deaths__daily,Mongbwalu,0
2026-05-20,insp_sitrep__cumulative_confirmed_deaths__daily,Nyankunde,0
2026-05-20,insp_sitrep__cumulative_confirmed_deaths__daily,Rwampara,0
2026-05-20,insp_sitrep__cumulative_suspected_cases__daily,Bambu,2
2026-05-20,insp_sitrep__cumulative_suspected_cases__daily,Bunia,125
2026-05-20,insp_sitrep__cumulative_suspected_cases__daily,Butembo,7
2026-05-20,insp_sitrep__cumulative_suspected_cases__daily,Goma,1
2026-05-20,insp_sitrep__cumulative_suspected_cases__daily,Katwa,13
2026-05-20,insp_sitrep__cumulative_suspected_cases__daily,Mongbwalu,317
2026-05-20,insp_sitrep__cumulative_suspected_cases__daily,Nyankunde,28
2026-05-20,insp_sitrep__cumulative_suspected_cases__daily,Rwampara,179
2026-05-20,insp_sitrep__cumulative_suspected_deaths__daily,Bunia,31
2026-05-20,insp_sitrep__cumulative_suspected_deaths__daily,Butembo,0
2026-05-20,insp_sitrep__cumulative_suspected_deaths__daily,Goma,0
2026-05-20,insp_sitrep__cumulative_suspected_deaths__daily,Katwa,0
2026-05-20,insp_sitrep__cumulative_suspected_deaths__daily,Mongbwalu,80
2026-05-20,insp_sitrep__cumulative_suspected_deaths__daily,Nyankunde,5
2026-05-20,insp_sitrep__cumulative_suspected_deaths__daily,Rwampara,44
2026-05-20,insp_sitrep__hospitalised__daily,Bunia,40
2026-05-20,insp_sitrep__hospitalised__daily,Mongbwalu,30
2026-05-20,insp_sitrep__hospitalised__daily,Nyankunde,16
2026-05-20,insp_sitrep__hospitalised__daily,Rwampara,54
2026-05-20,insp_sitrep__national_cumulative_confirmed_cases__daily,DRC,64
2026-05-20,insp_sitrep__national_cumulative_confirmed_deaths__daily,DRC,6
2026-05-20,insp_sitrep__national_cumulative_suspected_cases__daily,DRC,671
2026-05-20,insp_sitrep__new_hosp_admissions__daily,Bunia,28
2026-05-20,insp_sitrep__new_hosp_admissions__daily,Mongbwalu,21
2026-05-20,insp_sitrep__new_hosp_admissions__daily,Nyankunde,15
2026-05-20,insp_sitrep__new_hosp_admissions__daily,Rwampara,37
2026-05-21,insp_sitrep__cumulative_confirmed_cases__daily,Bambu,1
2026-05-21,insp_sitrep__cumulative_confirmed_cases__daily,Bunia,15
2026-05-21,insp_sitrep__cumulative_confirmed_cases__daily,Butembo,2
2026-05-21,insp_sitrep__cumulative_confirmed_cases__daily,Goma,1
2026-05-21,insp_sitrep__cumulative_confirmed_cases__daily,Katwa,1
2026-05-21,insp_sitrep__cumulative_confirmed_cases__daily,Kilo,1
2026-05-21,insp_sitrep__cumulative_confirmed_cases__daily,Miti Murhesa,1
2026-05-21,insp_sitrep__cumulative_confirmed_cases__daily,Mongbwalu,14
2026-05-21,insp_sitrep__cumulative_confirmed_cases__daily,Nizi,1
2026-05-21,insp_sitrep__cumulative_confirmed_cases__daily,Nyankunde,11
2026-05-21,insp_sitrep__cumulative_confirmed_cases__daily,Rwampara,31
2026-05-21,insp_sitrep__cumulative_confirmed_deaths__daily,Bambu,0
2026-05-21,insp_sitrep__cumulative_confirmed_deaths__daily,Bunia,1
2026-05-21,insp_sitrep__cumulative_confirmed_deaths__daily,Butembo,0
2026-05-21,insp_sitrep__cumulative_confirmed_deaths__daily,Goma,0
2026-05-21,insp_sitrep__cumulative_confirmed_deaths__daily,Katwa,0
2026-05-21,insp_sitrep__cumulative_confirmed_deaths__daily,Kilo,0
2026-05-21,insp_sitrep__cumulative_confirmed_deaths__daily,Miti Murhesa,0
2026-05-21,insp_sitrep__cumulative_confirmed_deaths__daily,Mongbwalu,0
2026-05-21,insp_sitrep__cumulative_confirmed_deaths__daily,Nizi,0
2026-05-21,insp_sitrep__cumulative_confirmed_deaths__daily,Nyankunde,0
2026-05-21,insp_sitrep__cumulative_confirmed_deaths__daily,Rwampara,1
2026-05-21,insp_sitrep__cumulative_suspected_cases__daily,Bambu,2
2026-05-21,insp_sitrep__cumulative_suspected_cases__daily,Bunia,166
2026-05-21,insp_sitrep__cumulative_suspected_cases__daily,Butembo,7
2026-05-21,insp_sitrep__cumulative_suspected_cases__daily,Goma,1
2026-05-21,insp_sitrep__cumulative_suspected_cases__daily,Katwa,13
2026-05-21,insp_sitrep__cumulative_suspected_cases__daily,Kilo,1
2026-05-21,insp_sitrep__cumulative_suspected_cases__daily,Miti Murhesa,1
2026-05-21,insp_sitrep__cumulative_suspected_cases__daily,Mongbwalu,322
2026-05-21,insp_sitrep__cumulative_suspected_cases__daily,Nizi,1
2026-05-21,insp_sitrep__cumulative_suspected_cases__daily,Nyankunde,38
2026-05-21,insp_sitrep__cumulative_suspected_cases__daily,Rwampara,193
2026-05-21,insp_sitrep__cumulative_suspected_deaths__daily,Bambu,0
2026-05-21,insp_sitrep__cumulative_suspected_deaths__daily,Bunia,34
2026-05-21,insp_sitrep__cumulative_suspected_deaths__daily,Butembo,0
2026-05-21,insp_sitrep__cumulative_suspected_deaths__daily,Goma,0
